Time,Name,Address / Platform,Region,Town
"Tuesday, 8:00 PM",Its Casual by the Lake Group,307 Hawkins Avenue,Ronkonkoma,Smithtown
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Smithtown
"Wednesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Smithtown
"Wednesday, 7:00 PM",Setauket Five and Dime Group,5 Caroline Avenue,Setauket,Smithtown
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Smithtown
"Wednesday, 7:30 PM",Recovery in Ronkonoma Group,307 Hawkins Avenue,Ronkonkoma,Smithtown
"Wednesday, 7:30 PM",Hope on the Rise Group,80 Leaf Avenue,Central Islip,Smithtown
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Smithtown
"Wednesday, 8:00 PM",Coming Back to Life Group,Online175 East Main Street,Smithtown,Smithtown
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Smithtown
"Wednesday, 8:00 PM",Open Minded Men Group,1140 Locust Avenue,Bohemia,Smithtown
"Thursday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Smithtown
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Smithtown
"Thursday, 7:00 PM",True Recovery,1101 Lakeland Avenue,Bohemia,Smithtown
"Thursday, 7:30 PM",Recovery 101 Group,385 Sunrise Highway North Service Road,Patchogue,Smithtown
"Thursday, 7:30 PM",Recovery in Paradise Group,Midway at Ocean Breeze,Ocean Beach,Smithtown
"Thursday, 7:30 PM",Serenity in Medford Group,3251 Route 112,Medford,Smithtown
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Smithtown
"Thursday, 7:30 PM",Alive Again Group,340 Elmore Street,Central Islip,Smithtown
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Smithtown
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Smithtown
"Thursday, 9:00 PM",Gift Of Life Group,107 East Main Street,Bay Shore,Smithtown
"Saturday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Smithtown
"Saturday, 6:00 PM",Friday Night Mens Group,497 Pulaski Road,Greenlawn,Smithtown
"Saturday, 6:30 PM",Wonder Women Group,497 Pulaski Road,Greenlawn,Smithtown
"Saturday, 6:30 PM",Pamphlets To Freedom Group,1140 Locust Avenue,Bohemia,Smithtown
"Saturday, 7:00 PM",Students of Recovery Group,159 Brightside Avenue,Central Islip,Smithtown
"Saturday, 7:30 PM",All About Change Group,Online315 Lake Shore Road,Lake Ronkonkoma,Smithtown
"Saturday, 7:30 PM",This Must Be the Place Group,106 Vernon Valley Road,East Northport,Smithtown
"Saturday, 8:00 PM",HYPE Group,309 Patchogue Road,Port Jefferson Station,Smithtown
"Saturday, 11:59 PM",Midnight Hope Group,107 East Main Street,Bay Shore,Smithtown
